RuleID,ProductA,ProductB,DataSource,Direction,ClientCount,Confidence,SME_Enterprise,Rationale AB,KeyBenefit1,KeyBenefit2,KeyBenefit3,InsightsSource AB,Rationale BA,KeyBenefit BA1,KeyBenefit BA2,KeyBenefit BA3,InsightsSource BA
CS057,workiso-combined,worksec-compliance,Real,Bi-Directional,1,60,,,,,,,,,,,
CS058,workiso-combined,worksec-guardnest,Real,Bi-Directional,5,80,,,,,,,,,,,
CS059,workiso-ms,worksec-compliance,Real,Bi-Directional,1,60,,,,,,,,,,,
CS060,worknest-hr,worksec-compliance,Real,Bi-Directional,1,60,,,,,,,,,,,
CS061,worknest-hr,worksec-vciso,Real,Bi-Directional,6,80,,,,,,,,,,,
CS062,vantify-cafm,vinciworks-courses,Real,Bi-Directional,18,85,,"Vantify CAFM tracks facilities assets and maintenance schedules, while VinciWorks ensures your facilities teams and contractors have the H&S competency and compliance awareness to operate safely.","H&S, fire safety, and facilities-specific compliance training for all team members",24/7 course access suits shift workers and multi-site facilities teams,Customizable to property-specific procedures and regional compliance requirements,,,,,,
CS063,barbour-comp,vinciworks-courses,Real,Bi-Directional,211,95,,"Barbour gives your team regulatory intelligence and ready-to-use templates, while VinciWorks ensures staff across the organization actually understand and can apply the requirements through engaging, trackable training.","Turn regulatory knowledge into workforce competence with 1,000+ compliance courses","Demonstrate training compliance for audits and certifications (ISO, Investors in People, etc.)",Courses fully customizable to match your Barbour templates and specific policies,,,,,,
CS064,barbour-comp,vantify-supply,Real,Bi-Directional,29,90,,,,,,,,,,,
CS065,vantify-supply,vinciworks-courses,Real,Bi-Directional,15,85,,"Vantify Supply Chain monitors supplier compliance and performance, while VinciWorks equips your procurement and operations teams with the knowledge to identify risks, enforce standards, and meet due diligence obligations.",Modern slavery and ethical sourcing training for procurement professionals,Supply chain due diligence and third-party risk awareness for all staff,Contractor onboarding modules ensuring suppliers understand your compliance requirements,,,,,,
CS066,vantify-cafm,vinciworks-sra,Real,Bi-Directional,2,60,,,,,,,,,,,
CS067,vantify-cafm,workiso-combined,Real,Bi-Directional,1,60,,,,,,,,,,,
CS068,vinciworks-courses,workiso-combined,Real,Bi-Directional,14,85,,,,,,,,,,,
CS069,barbour-comp,vinciworks-sra,Real,Bi-Directional,20,90,,,,,,,,,,,
CS070,barbour-comp,workiso-combined,Real,Bi-Directional,15,85,,,,,,,,,,,
CS071,vinciworks-sra,workiso-combined,Real,Bi-Directional,1,60,,,,,,,,,,,
CS072,vantify-supply,vinciworks-sra,Real,Bi-Directional,2,60,,,,,,,,,,,
CS073,vantify-supply,workiso-combined,Real,Bi-Directional,4,75,,,,,,,,,,,
CS074,barbour-consultancy,vantify-cafm,Real,Bi-Directional,3,75,,,,,,,,,,,
CS075,barbour-consultancy,vinciworks-courses,Real,Bi-Directional,28,90,,,,,,,,,,,
CS076,barbour-consultancy,vinciworks-sra,Real,Bi-Directional,3,75,,,,,,,,,,,
CS077,barbour-consultancy,workiso-combined,Real,Bi-Directional,6,80,,,,,,,,,,,
CS078,barbour-consultancy,vantify-supply,Real,Bi-Directional,4,75,,,,,,,,,,,
CS079,barbour-comp,vantify-maint,Real,Bi-Directional,10,85,,,,,,,,,,,
CS080,vantify-maint,vinciworks-courses,Real,Bi-Directional,6,80,,,,,,,,,,,
CS081,vantify-maint,worksec-guardnest,Real,Bi-Directional,3,75,,,,,,,,,,,
CS082,vantify-supply,worksec-vciso,Real,Bi-Directional,7,80,,,,,,,,,,,
CS083,vantify-supply,worksec-guardnest,Real,Bi-Directional,7,80,,,,,,,,,,,
CS084,barbour-consultancy,vantify-maint,Real,Bi-Directional,2,60,,,,,,,,,,,
CS085,barbour-comp,vinciworks-astute,Real,Bi-Directional,24,90,,,,,,,,,,,
CS086,barbour-comp,vinciworks-omnitrack,Real,Bi-Directional,12,85,,,,,,,,,,,
CS087,vinciworks-astute,workiso-combined,Real,Bi-Directional,1,60,,,,,,,,,,,
CS088,barbour-consultancy,vinciworks-astute,Real,Bi-Directional,2,60,,,,,,,,,,,
CS089,vinciworks-courses,workiso-ms,Real,Bi-Directional,15,85,,,,,,,,,,,
CS090,vinciworks-courses,workiso-enhanced,Real,Bi-Directional,1,60,,,,,,,,,,,
CS091,barbour-comp,workiso-ms,Real,Bi-Directional,15,85,,,,,,,,,,,
CS092,barbour-comp,workiso-enhanced,Real,Bi-Directional,1,60,,,,,,,,,,,
CS093,workiso-combined,worksec-vciso,Real,Bi-Directional,4,75,,,,,,,,,,,
CS094,workiso-ms,worksec-vciso,Real,Bi-Directional,7,80,,,,,,,,,,,
CS095,workiso-ms,worksec-guardnest,Real,Bi-Directional,9,80,,,,,,,,,,,
CS096,workiso-enhanced,worksec-vciso,Real,Bi-Directional,2,60,,,,,,,,,,,
CS097,workiso-enhanced,worksec-guardnest,Real,Bi-Directional,3,75,,,,,,,,,,,
CS098,vinciworks-courses,worknest-hr,Real,Bi-Directional,5,80,,,,,,,,,,,
CS099,barbour-comp,worknest-hr,Real,Bi-Directional,3,75,,,,,,,,,,,
CS100,barbour-consultancy,vinciworks-omnitrack,Real,Bi-Directional,1,60,,,,,,,,,,,
CS101,vinciworks-astute,worknest-hr,Real,Bi-Directional,2,60,,,,,,,,,,,
CS102,vinciworks-omnitrack,workiso-ms,Real,Bi-Directional,1,60,,,,,,,,,,,
CS103,vantify-supply,worknest-hr,Real,Bi-Directional,1,60,,,,,,,,,,,
CS104,worknest-hr,worksec-guardnest,Real,Bi-Directional,2,60,,,,,,,,,,,
CS105,workiso-combined,worksec-siemsoc,Real,Bi-Directional,1,60,,,,,,,,,,,
CS106,workiso-ms,worksec-siemsoc,Real,Bi-Directional,1,60,,,,,,,,,,,
CS107,vantify-supply,workiso-ms,Real,Bi-Directional,16,85,,,,,,,,,,,
CS108,vantify-supply,vinciworks-astute,Real,Bi-Directional,1,60,,,,,,,,,,,
CS109,vantify-maint,worksec-vciso,Real,Bi-Directional,1,60,,,,,,,,,,,
CS110,barbour-consultancy,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS111,barbour-consultancy,workiso-ms,Real,Bi-Directional,1,60,,,,,,,,,,,
CS112,worknest-hr,worksec-dpo,Real,Bi-Directional,2,60,,,,,,,,,,,
CS113,vantify-supply,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS114,workiso-ms,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS115,workiso-combined,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS116,vinciworks-sra,worksec-dpo,Real,Bi-Directional,1,60,,,,,,,,,,,
CS117,vinciworks-sra,worksec-siemsoc,Real,Bi-Directional,1,60,,,,,,,,,,,
CS118,vinciworks-sra,worksec-vciso,Real,Bi-Directional,3,75,,,,,,,,,,,
CS119,vinciworks-sra,worksec-guardnest,Real,Bi-Directional,7,80,,,,,,,,,,,
CS120,vinciworks-astute,workiso-ms,Real,Bi-Directional,1,60,,,,,,,,,,,
CS121,vinciworks-astute,workiso-enhanced,Real,Bi-Directional,1,60,,,,,,,,,,,
CS122,vinciworks-sra,workiso-ms,Real,Bi-Directional,1,60,,,,,,,,,,,
CS123,workiso-ms,worknest-hr,Real,Bi-Directional,1,60,,,,,,,,,,,
CS124,vinciworks-sra,worksec-compliance,Real,Bi-Directional,1,60,,,,,,,,,,,
